開放漢世詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界語］
希臘正教	xi1 la4 zheng4 jiao4	ortodoksismo
西寧	xi1 ning2	Ŝjiningo; ĉefurbo de la ĉina provinco Ĉinghajo
犀牛	xi1 niu2	rinocero (mambesto)
吸入	xi1 ru4	enspiri
犧牲	xi1 sheng1	oferi
吸收	xi1 shou1	sorbi
蟋蟀	xi1 shuai4	grilo (insekto)
希望	xi1 wang4	esperi
西夏	xi1 xia4	Okcidenta Ŝja-dinastio; 1038-1227 KE
吸血鬼	xi1 xie3 gui3	vampiro
吸煙	xi1 yan1	fumi
西洋棋	xi1 yang2 qi2	ŝako; ŝakludo (okcidenta ŝako)
蜥蜴	xi1 yi4	lacerto
吸引	xi1 yin3	allogi
西印度輕木	xi1 yin4 du4  qing1 mu4	(pla-sci) okromo; okromarbo (latine, Ochroma pyramidale)
西游記	xi1 you2 ji4	Pilgrimo al la Okcidento; la romano "Pilgrimo al la Okcidento"
西藏	xi1 zang4	Tibeto; provinco de Ĉinio
錫	xi2	(kem) stano; la elemento stano (Sn), atomnumero 50
習慣	xi2 guan4	kutimo
習慣	xi2 guan4	kutimi
習慣用語	xi2 guan4  yong4 yu3	idiotismo; idiotisma esprimo (gramatiko)
習慣了	xi2 guan4 le5	kutime
習慣了	xi2 guan4 le5	alkutimiĝi
習慣於	xi2 guan4 yu2	alkutimiĝi
習慣語	xi2 guan4 yu3	idiotismo (gramatiko)
洗髮精	xi3 fa4 jing1	ŝampuo
喜歡	xi3 huan5	ŝati; plaĉi al
喜劇	xi3 ju4	komedio
喜林芋	xi3 lin2 yu4	(pla-sci) filodendrono; (latine, Philodendron)
洗手間	xi3 shou3 jian1	lavejo
洗碗機	xi3 wan3 ji1	vazlavilo; vazlavmaŝino
洗澡	xi3 zao3	duŝi sin
細	xi4	maldika
細胞	xi4 bao1	ĉelo; biologia ĉelo
細胞分裂	xi4 bao1  fen1 lie4	ĉela dividiĝo; ĉeldividiĝo
細胞組織	xi4 bao1  zu3 zhi1	(anat) ĉela histo
細胞核	xi4 bao1 he2	ĉelkerno
細胞器	xi4 bao1 qi4	organeto
系詞	xi4 ci2	kopulo (lingvistiko)
細節	xi4 jie2	detalo
戲劇	xi4 ju4	teatraĵo
細菌	xi4 jun4	bakterio
系列	xi4 lie4	serio
系統	xi4 tong3	sistemo
戲院	xi4 yuan4	teatro
蝦	xia1	salikoko
蝦子	xia1 zi5	salikoko
狹義相對論	xia2 yi4  xiang1 dui4 lun4	(fiz) Speciala Relativeco
狹窄	xia2 zhai3	mallarĝa
下	xia4	(komp) elŝuti
下	xia4	sub
夏	xia4	la Ŝja-dinastio; Dinastio Ŝja
夏	xia4	somero
下巴	xia4 ba5	(anat) mentono
夏朝	xia4 chao2	Ŝja-dinastio; Dinastio Ŝja; ~2100 a.KE-~1600 a.KE
下顎	xia4 e4	(anat) mandiblo
下個	xia4 ge4	sekvanta
下頜	xia4 han4	(anat) mandiblo
下降	xia4 jiang4	malleviĝi
下列	xia4 lie4	jenaj; sekvaj
下流	xia4 liu2	fia
下面	xia4 mian4	sub; malsupre
下棋	xia4 qi2	ŝakludi
夏天	xia4 tian1	somero
下午	xia4 wu3	posttagmezo
下雪	xia4 xue3	neĝi
下雨	xia4 yu3	pluvi
下載	xia4 zai4	elŝuti
夏至	xia4 zhi4	la sumera solstico
氙	xian1	(kem) ksenono; la elemento ksenono (Xe), atomnumero 54
仙人掌	xian1 ren2 zhang3	(pla-sci) kakto
纖維	xian1 wei2	fibro
先知	xian1 zhi1	profeto
咸	xian2	sala
鹹味	xian2 wei4	sala gusto
嫌疑人	xian2 yi2 ren2	suspektato
顯然	xian3 ran2	ŝajne
顯微鏡	xian3 wei1 jing4	mikroskopo
腺	xian4	(anat) glandoj
現代	xian4 dai4	moderna
現金	xian4 jin1	kontanto
陷阱	xian4 jing3	kaptilo
線粒體	xian4 li4 ti3	mitokondrio
羡慕	xian4 mu4	envii
現實	xian4 shi2	vero; realaĵo
線索	xian4 suo3	postsigno
現象	xian4 xiang4	fenomeno
現在	xian4 zai4	nun
現在時	xian4 zai4 shi2	prezenca tempo (gramatiko)
限制	xian4 zhi4	limigi
香	xiang1	aroma
湘	xiang1	Hunano; mallongiga formo de Hunano
箱	xiang1	kesto
香柏	xiang1 bai3	(pla-sci) cedro; cedrarbo (latine, Cedrus)
香柏樹	xiang1 bai3 shu4	(pla-sci) cedro; cedrarbo (latine, Cedrus)
相對論	xiang1 dui4 lun4	(fiz) teorio de relativeco
香港	xiang1 gang3	Honkongo (Ŝianggango); speciala administra regiono de Ĉinio
香港特別行政區	Xiang1 gang3  te4 bie2  xing2 zheng4 qu1	Honkongo Speciala Administra Regiono (de Ĉinio)
相互	xiang1 hu4	unu la alian
相互…	xiang1 hu4	... unu la alian
香蕉樹	xiang1 jiao1 shu4	(pla-sci) bananarbo; (latine, Musa acuminata)
香蒲	xiang1 pu2	(pla-sci) tifao; (latine, Typha latifolia)
香氣	xiang1 qi4	aromo
相勸	xiang1 quan4	konsili
香水	xiang1 shui3	parfumo
相同	xiang1 tong2	identa
相信	xiang1 xin4	kredi
香煙	xiang1 yan1	cigaredo
香脂冷杉	xiang1 zhi1  leng3 shan1	(pla-sci) balzama abio; balzama abiarbo (latine, Abies balsamea)
詳細	xiang2 xi4	detala
想	xiang3	pensi
享	xiang3	ĝui
想不到	xiang3 bu5 dao4	neatendita
想法	xiang3 fa3	pensmaniero
享受	xiang3 shou4	ĝui
想睡	xiang3 shui4	dormema
響尾蛇	xiang3 wei3 she2	sonserpento (reptilio)
想象	xiang3 xiang4	imagi
想象力	xiang3 xiang4 li4	imago
想要	xiang3 yao4	voli
像	xiang4	simila
項	xiang4	(anat) kolo
相	xiang4	ministro (ĉina ŝako)
象	xiang4	elefanto (mambesto)
象	xiang4	kuriero (ŝako)
橡	xiang4	(pla-sci) kverko; kverkarbo (latine, Quercus)
象	xiang4	elefanto (ĉina ŝako)
項	xiang4	(anat) postparto de kolo
相	xiang4	(fiz) fazo de materio; stato de materio
橡膠	xiang4 jiao1	kaŭĉuko
橡膠樹	xiang4 jiao1 shu4	(pla-sci) kaŭĉukarbo; (latine, Hevea brasiliensis)
項鏈	xiang4 lian4	kolĉeno
橡皮擦	xiang4 pi2 ca1	gumo
象棋	xiang4 qi2	ĉina ŝako; "elefanta ŝako"
嚮日葵	xiang4 ri4 kui2	(pla-sci) helianto; heliantfloro (latine, Helianthus annuus)
象聲詞	xiang4 sheng1 ci2	onomatopeo (gramatiko)
橡樹	xiang4 shu4	(pla-sci) kverko; kverkarbo (latine, Quercus)
相態	xiang4 tai4	(fiz) fazo de materio; stato de materio
象牙	xiang4 ya2	eburo; elefanta dentego
象徵	xiang4 zheng1	simbolo; simboli
消費者	xiao1 fei4 zhe3	konsumanto
消化	xiao1 hua4	digesti; digesto
消化系統	xiao1 hua4  xi4 tong3	digesta sistemo
消極	xiao1 ji2	nea
削鉛筆器	xiao1 qian1 bi3 qi4	krajonpintigilo
小	xiao3	ida (besto); -ido
小	xiao3	malgranda
小腸	xiao3 chang2	(anat) maldika intesto
小孩	xiao3 hai2	infaneto; bebo
小雞	xiao3 ji1	kokido
小馬	xiao3 ma3	ĉevalido
小馬駒	xiao3 ma3 ju1	ĉevalido
小麥	xiao3 mai4	tritiko
小貓	xiao3 mao1	katido
小腦	xiao3 nao3	(anat) cerebelo; cerbeto
小牛	xiao3 niu2	bovido
小山	xiao3 shan1	monteto
小舌	xiao3 she2	(anat) uvulo
小時	xiao3 shi1	horo
小說	xiao3 shuo1	romano
小提琴	xiao3 ti2 qin2	violono
小偷	xiao3 tou1	ŝtelisto
小腿	xiao3 tui3	(anat) kruro
小心	xiao3 xin1	singarda; singardema; zorga; zorgema
小心	xiao3 xin1	atenton
小行星	xiao3 xing2 xing1	(ast) asteroido
小學	xiao3 xue2	elementa lernejo
小羊	xiao3 yang2	ŝafido
小指	xiao3 zhi3	etfingro; malgranda fingro
小組	xiao3 zu3	grupeto; grupo
小組	xiao3 zu3	grupo; malgranda grupo
笑	xiao4	moki
笑	xiao4	ridi
效果	xiao4 guo3	efiko
笑話	xiao4 hua4	ŝerco
笑臉	xiao4 lian3	ridmieno
效率	xiao4 lv4	efikeco
笑容	xiao4 rong2	rideto
校長	xiao4 zhang3	lernejestro
些	xie1	iuj
蠍	xie1	skorpio
蠍子	xie1 zi5	skorpio
鞋帶	xie2 dai4	ŝulaĉo
邪惡	xie2 e4	malbono; malico
邪惡	xie2 e4	malbonega; malica
斜方肌	xie2 fang1 ji1	(anat) trapeza muskolo
鞋子	xie2 zi5	ŝuo
寫	xie3	skribi
寫字	xie3 zi4	skribi
寫字檯	xie3 zi4 tai2	skribotablo
謝	xie4	dankon
謝	xie4	danki
蟹	xie4	krabo
屑	xie4	ero
謝了	xie4 le5	dankon
謝謝	xie4 xie5	danki
謝謝	xie4 xie5	dankon
心	xin1	(anat) koro
鋅	xin1	(kem) zinko; la elemento zinko (Zn), atomnumero 30
新	xin1	nova
新	xin1	Ŝinĝjango; mallongiga formo de Ŝinĝjango
心瓣	xin1 ban4	kora valvo
心包	xin1 bao1	perikardo
心搏	xin1 bo2	(anat) korbato
薪柴	xin1 chai2	brulligno
心房	xin1 fang2	aŭriklo
辛亥革命	xin1 hai4  ge2 ming4	la Ĉina revolucio de 1911; "la Sinhaja revolucio"
新疆	xin1 jiang1	Ŝinĝjango; provinco de Ĉinio
新教	xin1 jiao4	protestantismo
心理學家	xin1 li3 xue2 jia1	psikologo
心靈	xin1 ling2	spirito; animo
心情	xin1 qing2	humoro
欣賞	xin1 shang3	ŝati
心室	xin1 shi4	ventriklo
薪水	xin1 shui3	salajro
心痛	xin1 tong4	kordoloro
新聞	xin1 wen2	novaĵoj
新聞報紙	xin1 wen2  bao4 zhi3	gazeto
新聞記者	xin1 wen2  ji4 zhe3	ĵurnalisto
新鮮	xin1 xian1	freŝa
新星	xin1 xing1	(ast) novao
心血管系統	xin1 xue4 guan3  xi4 tong3	kardiovaskula sistemo
心臟	xin1 zang4	(anat) koro
信	xin4	kredi
信	xin4	letero
信號	xin4 hao4	signalo
信賴	xin4 lai4	fido
信任	xin4 ren4	fidi je
信箱	xin4 xiang1	leterkesto
信仰	xin4 yang3	fido
信用	xin4 yong4	kredito
信用卡	xin4 yong4 ka3	kreditkarto
星	xing1	(ast) stelo
興奮	xing1 fen4	ekscitita
星期二	xing1 qi1 er4	mardo
星期六	xing1 qi1 liu4	sabato
星期日	xing1 qi1 ri4	dimanĉo
星期三	xing1 qi1 san1	merkredo
星期四	xing1 qi1 si4	ĵaŭdo
星期天	xing1 qi1 tian1	dimanĉo
星期五	xing1 qi1 wu3	vendredo
星期一	xing1 qi1 yi1	lundo
星期	xing1 qi2	semajno
星球	xing1 qiu2	planedo
星體	xing1 ti3	(ast) astro
星系	xing1 xi4	(ast) galaksio
星星	xing1 xing1	stelo
星雲	xing1 yun2	(ast) nebulozo
行程	xing2 cheng2	horaro
行動	xing2 dong4	movo
行李	xing2 li3	pakaĵo
行李箱	xing2 li3 xiang1	valizo
行人	xing2 ren2	piediranto
形容	xing2 rong2	priskribi
形容詞	xing2 rong2 ci2	adjektivo (gramatiko)
形容詞詞尾	xing2 rong2 ci2  ci2 wei3	adjektiva finiĝo (gramatiko)
形態	xing2 tai4	morfologio (lingvistiko)
行為	xing2 wei2	konduto
行星	xing2 xing1	(ast) planedo
行政	xing2 zheng4	administra
形狀	xing2 zhuang4	formo
醒	xing3	maldorma
醒	xing3	malebria
醒	xing3	malebriiĝi
醒來	xing3 lai2	vekiĝi
醒著	xing3 zhe5	maldormi
性	xing4	genro
性	xing4	karaktero; humoro
性	xing4	sekso
性	xing4	-eco
姓	xing4	familia nomo
性	xing4	-seksa
性別	xing4 bie2	sekso
幸福	xing4 fu2	feliĉo; feliĉeco
性感	xing4 gan3	amorveka
姓名學	xing4 ming2 xue2	onomastiko
興趣	xing4 qu4	intereso
性生活	xing4 sheng1 huo2	seksvivo
姓氏	xing4 shi4	familia nomo
杏樹	xing4 shu4	(pla-sci) abrikotarbo; (latine, Prunus armeniaca)
性質	xing4 zhi4	eco
胸	xiong1	(anat) brusto
胸部	xiong1 bu4	(anat) torako
胸大肌	xiong1 da4 ji1	(anat) pektoralo (muskolo)
胸骨	xiong1 gu3	(anat) sternumo
胸脯	xiong1 pu2	(anat) brusto
凶手	xiong1 shou3	murdinto
匈牙利語	xiong1 ya2 li4 yu3	la hungara; la hungara lingvo
雄	xiong2	vira (besto); vir-
熊	xiong2	urso (mambesto)
雄	xiong2	virseksa
雄馬	xiong2 ma3	virĉevalo
熊貓	xiong2 mao1	pando (mambesto)
雄蕊	xiong2 rui3	(plantoj) stameno
雄性	xiong2 xing4	virseksa
休	xiu1	ripozi
修理	xiu1 li3	rebonigi; ripari
休息	xiu1 xi5	paŭzi; ripozi
溴	xiu4	(kem) bromo; la elemento bromo (Br), atomnumero 35
銹	xiu4	rusto
繡球花	xiu4 qiu2 hua1	(pla-sci) hortensio; hortensifloro (latine, Hydrangea macrophylla)
需	xu1	bezoni
虛擬語氣	xu1 ni3  yu3 qi4	subjunkcio (gramatiko)
虛榮	xu1 rong2	vanta
需要	xu1 yao4	bezoni
蓿	xu5	(pla-sci) trifolio; trifolifloro (latine, Trifolium)
宣佈	xuan1 bu4	anonci
懸鈴木	xuan2 ling2 mu4	(pla-sci) platano; platanarbo (latine, Platanus)
懸鈴木樹	xuan2 ling2 mu4 shu4	(pla-sci) platano; platanarbo (latine, Platanus)
旋律	xuan2 lv4	melodio
漩渦	xuan2 wo1	turnakvo
選擇	xuan3 ze2	elekti; elekto
穴	xue2	kavo
學	xue2	studi
學生	xue2 sheng5	lernanto; studanto
學習	xue2 xi5	lerni; studi
學校	xue2 xiao4	lernejo
學院	xue2 yuan4	kolegio
鱈	xue3	gado (fiŝo)
雪	xue3	neĝo
雪茄	xue3 jia1	cigaro
雪片	xue3 pian4	neĝero
雪橇	xue3 qiao1	glitveturilo; sledo
雪球	xue3 qiu2	neĝbulo
雪人	xue3 ren2	neĝhomo
雪松	xue3 song1	(pla-sci) cedro; cedrarbo (latine, Cedrus)
雪松樹	xue3 song1 shu4	(pla-sci) cedro; cedrarbo (latine, Cedrus)
鱈魚	xue3 yu2	gado (fiŝo)
血管	xue4 guan3	(anat) angioj
血紅蛋白	xue4 hong2  dan4 bai2	(anat) hemoglobino
血紅素	xue4 hong2 su4	(anat) hemoglobino
血球	xue4 qiu2	(anat) sangoĉelo
血色素	xue4 se4 su4	(anat) hemoglobino
血細胞	xue4 xi4 bao1	(anat) sangoĉelo
血液	xue4 ye4	(anat) sango
薰衣草	xun1 yi1 cao3	(pla-sci) lavendo; lavendfloro (latine, Lavandula angustifolia)
蕁	xun2	(pla-sci) urtiko; (latine, Urtica dioica)
迴圈	xun2 huan2	ĉirkaŭiri
迴圈系統	xun2 huan2  xi4 tong3	sangocirkula sistemo
巡邏	xun2 luo2	patroli
蕁麻	xun2 ma2	(pla-sci) urtiko; (latine, Urtica dioica)
詢問	xun2 wen4	demandi
馴鹿	xun4 lu4	boaco; norda cervo (mambesto)
訊息	xun4 xi1	mesaĝo
鴨	ya1	anaso (birdo)
鴉	ya1	korniko (birdo)
壓力	ya1 li4	premo
壓強	ya1 qiang2	(fiz) premo
鴨子	ya1 zi5	anaso (birdo)
鴨嘴獸	ya1 zui3 shou4	ornitorinko (mambesto)
牙	ya2	(anat) dento
牙齒	ya2 chi3	(anat) dento
牙床	ya2 chuang2	(anat) dentokarno
牙膏	ya2 gao1	dentopasto
牙簽	ya2 qian1	dentopikilo
牙刷	ya2 shua1	dentobroso
牙醫	ya2 yi1	dentisto
牙齦	ya2 yin2	(anat) dentokarno
雅典娜	Ya3 dian3 na4	Atena (helena mitologio)
雅爾塔會議	ya3 er3 ta3  hui4 yi4	Jalta Konferenco; (1945 KE)
氬	ya4	(kem) argono; la elemento argono (Ar), atomnumero 18
亞麻	ya4 ma2	(pla-sci) lino; (latine, Linum usitatissimum)
亞太經合	ya4 tai4  jing1 he2	(m-l) Azi-Pacifika Ekonomia Kunlaboro; (APEK)
亞太經合組織	ya4 tai4  jing1 he2  zu3 zhi1	(m-l) Azi-Pacifika Ekonomia Kunlaboro; (APEK)
亞洲太平洋經濟合作組織	ya4 zhou1  tai4 ping2 yang2  jing1 ji4  he2 zuo4  zu3 zhi1	Azi-Pacifika Ekonomia Kunlaboro; (APEK)
煙	yan1	fumo
咽	yan1	(anat) faringo
煙	yan1	cigaredo
煙草	yan1 cao3	(pla-sci) tabako; nikotiano; (latine, Nicotiana tabacum)
煙囪	yan1 cong1	kamentubo
咽喉	yan1 hou2	(anat) faringo
煙火	yan1 huo3	fajraĵo
嚴	yan2	severa; severe
嚴格	yan2 ge2	severa
嚴禁	yan2 jin4	ne estas permesita
顏料	yan2 liao4	farbo
顏色	yan2 se4	koloro
岩石	yan2 shi2	ŝtonego; roko
嚴肅	yan2 su4	serioza
言語	yan2 yu3	vortoj; parolo
嚴重	yan2 zhong4	grava
眼	yan3	(anat) okulo
鼴	yan3	talpo (mambesto)
演唱會	yan3 chang4 hui4	koncerto
演講	yan3 jiang3	parolado
眼角膜	yan3 jiao3 mo2	(anat) kornea
眼睫毛	yan3 jie2 mao2	(anat) okulharo
眼睛	yan3 jing1	(anat) okulo
眼鏡蛇	yan3 jing1 she2	kobro (reptilio)
眼鏡	yan3 jing4	okulvitroj
眼淚	yan3 lei4	(anat) larmo
眼皮	yan3 pi2	(anat) palpebro
眼球	yan3 qiu2	(anat) okulglobo
鼴鼠	yan3 shu3	talpo (mambesto)
眼窩	yan3 wo1	(anat) okulkavo; orbito
演員	yan3 yuan2	aktoro
宴	yan4	festeno
燕	yan4	hirundo (birdo)
宴會	yan4 hui4	festeno
燕麥	yan4 mai4	aveno
燕子	yan4 zi5	hirundo (birdo)
楊	yang2	(pla-sci) tremolo; tremolarbo (latine, Populus tremula)
羊	yang2	ŝafo (mambesto)
羊齒	yang2 chi3	(pla-sci) filikoplanto
洋槐樹	yang2 huai2 shu4	(pla-sci) robinio; falŝa akacio; falŝa akaciarbo (latine, Robinia pseudoacacia)
楊柳	yang2 liu3	(pla-sci) saliko; salikarbo (latine, Salix)
楊柳樹	yang2 liu3 shu4	(pla-sci) saliko; salikarbo (latine, Salix)
羊毛	yang2 mao2	lano
羊肉	yang2 rou4	ŝafaĵo
楊樹	yang2 shu4	(pla-sci) tremolo; tremolarbo (latine, Populus tremula)
羊水	yang2 shui3	(anat) amnia fluido; amnia likvaĵo
陽臺	yang2 tai2	balkono
陽性	yang2 xing4	vira; vira genro (gramatiko)
陽性名詞	yang2 xing4  ming2 ci2	vira substantivo (gramatiko)
陽性詞	yang2 xing4 ci2	vira vorto (gramatiko)
洋繡球花	yang2 xiu4 qiu2	(pla-sci) hortensio; hortensifloro (latine, Hydrangea macrophylla)
氧	yang3	(kem) oksigeno; la elemento oksigeno (O), atomnumero 8
養老金	yang3 lao3 jin1	pensio
腰	yao1	(anat) talio
腰部	yao1 bu4	(anat) talio
邀請	yao1 qing3	inviti
要求	yao1 qiu2	postuli; postulo
謠	yao2	kanto
遙控器	yao2 kong4 qi4	teleregilo
搖籃	yao2 lan2	lulilo
搖籃曲	yao2 lan2 qu3	lulkanto
謠言	yao2 yan2	onidiro
要	yao4	bezoni
要	yao4	voli
藥房	yao4 fang2	farmacio
要命	yao4 ming4	ege; terure
要是	yao4 shi4	ŝlosilo
椰	ye1	(pla-sci) kokosarbo; (latine, Cocos nucifera)
椰子樹	ye1 zi5 shu4	(pla-sci) kokosarbo; (latine, Cocos nucifera)
也	ye3	ankaŭ
也不	ye3 bu4	nek
也不一定	ye3 bu4 yi2 ding4	ne nepre; eble
野餐	ye3 can1	pikniko
野葛	ye3 ge2	(pla-sci) venena sumako; (latine, Toxicodendron radicans)
野胡蘿葡	ye3 hu2 luo2 bo5	(pla-sci) sovaĝa karoto; (latine, Daucus carota)
野蠻	ye3 man2	sovaĝa
也許	ye3 xu3	eble
野豬	ye3 zhu1	apro (mambesto)
頁	ye4	paĝo
腋	ye4	(anat) subbrako; akselo
夜	ye4	nokto
葉	ye4	folio
液化	ye4 hua4	(fiz) likvigi
葉綠素	ye4 lv4 su4	klorofilo
葉綠體	ye4 lv4 ti3	kloroplasto
液體	ye4 ti3	(fiz) likvaĵo; likvo
夜晚	ye4 wan3	nokto
腋窩	ye4 wo1	(anat) subbrako; akselo
夜鶯	ye4 ying1	najtingalo (birdo)
葉子	ye4 zi5	folio
醫	yi1	resanigi
銥	yi1	(kem) iridio; la elemento iridio (Ir), atomnumero 77
依	yi1	ankoraŭ; same kiel antaŭe
一	yi1	unu (1)
一	yi1	lundo
一分鐘	yi1  fen1 zhong1	unu minuto
伊阿宋	Yi1 a1 song4	Jazono (helena mitologio)
一點	yi1 dian3	la unua horo
一點鐘	yi1 dian3	la unua horo
衣服	yi1 fu5	vestoj
衣架	yi1 jia4	vestarko
依舊	yi1 jiu4	same kiel antaŭe; ankoraŭ
伊卡洛斯	Yi1 ka3 luo4 si1	Ikaro (helena mitologio)
依靠	yi1 kao4	dependi de
伊妹兒	yi1 mei4 er5	retpoŝto
伊妹兒地址	yi1 mei4 er5 di4 zhi3	retpoŝt-adreso
依然	yi1 ran2	ankoraŭ; same kiel antaŭe
醫生	yi1 sheng1	kuracisto
伊斯蘭會議組織	yi1 si1 lan2  hui4 yi4  zu3 zhi1	Organizo de la Islama Konferenco; (OIK)
伊斯蘭教	yi1 si1 lan2 jiao4	islamo
醫院	yi1 yuan4	malsanulejo
一戰	yi1 zhan4	(m-l) la unua mondmilito
胰	yi2	(anat) pankreaso
一半	yi2 ban4	duono
一倍	yi2 bei4	unuoble; la duoblo de
遺產	yi2 chan3	heredaĵo
一次	yi2 ci4	unufoje
一代	yi2 dai4	generacio
一定	yi2 ding4	nepre; certe
一定	yi2 ding4	nepre
一定不	yi2 ding4 bu4	nepre ne
移動	yi2 dong4	movi
頤和園	yi2 he2 yuan2	la Somera Palaco (en Pekino)
一刻	yi2 ke4	kvaronhoro; 15 minutoj
移民	yi2 min2	migri; enmigri; elmigri
儀器	yi2 qi4	instrumento
一切	yi2 qie4	ĉio
儀式	yi2 shi4	ceremonio
一萬	yi2 wan4	dek mil (10 000)
一萬億	yi2 wan4 yi4	duiliono; biliono (1 000 000 000 000)
疑問代詞	yi2 wen3  dai4 ci2	interogativo (gramatiko)
疑問助詞	yi2 wen4  zhu4 ci2	demanda partikulo (gramatiko)
疑問詞	yi2 wen4 ci2	demandvorto (gramatiko)
疑問句	yi2 wen4 ju4	demanda frazo (gramatiko)
一樣	yi2 yang4	sama
一夜情	yi2 ye4 qing2	ununokta afero
一億	yi2 yi4	cent miliono (100 000 000)
一月	yi2 yue4	januaro
一月八號	yi2 yue4  ba1  hao4	la oka de januaro
一月八日	yi2 yue4  ba1  ri4	la oka de januaro
一月二號	yi2 yue4  er4  hao4	la dua de januaro
一月二日	yi2 yue4  er4  ri4	la dua de januaro
一月二十號	yi2 yue4  er4 shi2  hao4	la dudeka de januaro
一月二十日	yi2 yue4  er4 shi2  ri4	la dudeka de januaro
一月二十八號	yi2 yue4  er4 shi2 ba1  hao4	la dudek oka de januaro
一月二十八日	yi2 yue4  er4 shi2 ba1  ri4	la dudek oka de januaro
一月二十二號	yi2 yue4  er4 shi2 er4  hao4	la dudek dua de januaro
一月二十二日	yi2 yue4  er4 shi2 er4  ri4	la dudek dua de januaro
一月二十九號	yi2 yue4  er4 shi2 jiu3  hao4	la dudek naŭa de januaro
一月二十九日	yi2 yue4  er4 shi2 jiu3  ri4	la dudek naŭa de januaro
一月二十六號	yi2 yue4  er4 shi2 liu4  hao4	la dudek sesa de januaro
一月二十六日	yi2 yue4  er4 shi2 liu4  ri4	la dudek sesa de januaro
一月二十七號	yi2 yue4  er4 shi2 qi1  hao4	la dudek sepa de januaro
一月二十七日	yi2 yue4  er4 shi2 qi1  ri4	la dudek sepa de januaro
一月二十三號	yi2 yue4  er4 shi2 san1  hao4	la dudek tria de januaro
一月二十三日	yi2 yue4  er4 shi2 san1  ri4	la dudek tria de januaro
一月二十四號	yi2 yue4  er4 shi2 si4  hao4	la dudek kvara de januaro
一月二十四日	yi2 yue4  er4 shi2 si4  ri4	la dudek kvara de januaro
一月二十五號	yi2 yue4  er4 shi2 wu3  hao4	la dudek kvina de januaro
一月二十五日	yi2 yue4  er4 shi2 wu3  ri4	la dudek kvina de januaro
一月二十一號	yi2 yue4  er4 shi2 yi1  hao4	la dudek unua de januaro
一月二十一日	yi2 yue4  er4 shi2 yi1  ri4	la dudek unua de januaro
一月九號	yi2 yue4  jiu3  hao4	la naŭa de januaro
一月九日	yi2 yue4  jiu3  ri4	la naŭa de januaro
一月六號	yi2 yue4  liu4  hao4	la sesa de januaro
一月六日	yi2 yue4  liu4  ri4	la sesa de januaro
一月七號	yi2 yue4  qi1  hao4	la sepa de januaro
一月七日	yi2 yue4  qi1  ri4	la sepa de januaro
一月三號	yi2 yue4  san1  hao4	la tria de januaro
一月三日	yi2 yue4  san1  ri4	la tria de januaro
一月三十號	yi2 yue4  san1 shi2  hao4	la trideka de januaro
一月三十日	yi2 yue4  san1 shi2  ri4	la trideka de januaro
一月三十一號	yi2 yue4  san1 shi2 yi1  hao4	la tridek unua de januaro
一月三十一日	yi2 yue4  san1 shi2 yi1  ri4	la tridek unua de januaro
一月十號	yi2 yue4  shi2  hao4	la deka de januaro
一月十日	yi2 yue4  shi2  ri4	la deka de januaro
一月十八號	yi2 yue4  shi2 ba1  hao4	la dek oka de januaro
一月十八日	yi2 yue4  shi2 ba1  ri4	la dek oka de januaro
一月十二號	yi2 yue4  shi2 er4  hao4	la dek dua de januaro
一月十二日	yi2 yue4  shi2 er4  ri4	la dek dua de januaro
一月十九號	yi2 yue4  shi2 jiu3  hao4	la dek naŭa de januaro
一月十九日	yi2 yue4  shi2 jiu3  ri4	la dek naŭa de januaro
一月十六號	yi2 yue4  shi2 liu4  hao4	la dek sesa de januaro
一月十六日	yi2 yue4  shi2 liu4  ri4	la dek sesa de januaro
一月十七號	yi2 yue4  shi2 qi1  hao4	la dek sepa de januaro
一月十七日	yi2 yue4  shi2 qi1  ri4	la dek sepa de januaro
一月十三號	yi2 yue4  shi2 san1  hao4	la dek tria de januaro
一月十三日	yi2 yue4  shi2 san1  ri4	la dek tria de januaro
一月十四號	yi2 yue4  shi2 si4  hao4	la dek kvara de januaro
一月十四日	yi2 yue4  shi2 si4  ri4	la dek kvara de januaro
一月十五號	yi2 yue4  shi2 wu3  hao4	la dek kvina de januaro
一月十五日	yi2 yue4  shi2 wu3  ri4	la dek kvina de januaro
一月十一號	yi2 yue4  shi2 yi1  hao4	la dek unua de januaro
一月十一日	yi2 yue4  shi2 yi1  ri4	la dek unua de januaro
一月四號	yi2 yue4  si4  hao4	la kvara de januaro
一月四日	yi2 yue4  si4  ri4	la kvara de januaro
一月五號	yi2 yue4  wu3  hao4	la kvina de januaro
一月五日	yi2 yue4  wu3  ri4	la kvina de januaro
一月一號	yi2 yue4  yi1  hao4	la unua de januaro
一月一日	yi2 yue4  yi1  ri4	la unua de januaro
胰臟	yi2 zang4	(anat) pankreaso
一兆	yi2 zhao4	duiliono; biliono (1 000 000 000 000)
遺囑	yi2 zhu3	testamento
釔	yi3	(kem) itrio; la elemento itrio (Y), atomnumero 39
已	yi3	jam
蟻	yi3	formiko (insekto)
以後	yi3 hou4	malantaŭ; poste
以後	yi3 hou4	post
以及	yi3 ji2	kaj
已經	yi3 jing1	jam
以前	yi3 qian2	antaŭ; antaŭe
