开放汉世词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界语］
伊阿宋	Yi1 a1 song4	Jazono (helena mitologio)
一点	yi1 dian3	la unua horo
一点钟	yi1 dian3	la unua horo
衣服	yi1 fu5	vestoj
衣架	yi1 jia4	vestarko
依旧	yi1 jiu4	same kiel antaŭe; ankoraŭ
伊卡洛斯	Yi1 ka3 luo4 si1	Ikaro (helena mitologio)
依靠	yi1 kao4	dependi de
伊妹儿	yi1 mei4 er5	retpoŝto
伊妹儿地址	yi1 mei4 er5 di4 zhi3	retpoŝt-adreso
依然	yi1 ran2	ankoraŭ; same kiel antaŭe
医生	yi1 sheng1	kuracisto
伊斯兰会议组织	yi1 si1 lan2  hui4 yi4  zu3 zhi1	Organizo de la Islama Konferenco; (OIK)
伊斯兰教	yi1 si1 lan2 jiao4	islamo
医院	yi1 yuan4	malsanulejo
一战	yi1 zhan4	(m-l) la unua mondmilito
胰	yi2	(anat) pankreaso
一半	yi2 ban4	duono
一倍	yi2 bei4	unuoble; la duoblo de
遗产	yi2 chan3	heredaĵo
一次	yi2 ci4	unufoje
一代	yi2 dai4	generacio
一定	yi2 ding4	nepre; certe
一定	yi2 ding4	nepre
一定不	yi2 ding4 bu4	nepre ne
移动	yi2 dong4	movi
颐和园	yi2 he2 yuan2	la Somera Palaco (en Pekino)
一刻	yi2 ke4	kvaronhoro; 15 minutoj
移民	yi2 min2	migri; enmigri; elmigri
仪器	yi2 qi4	instrumento
一切	yi2 qie4	ĉio
仪式	yi2 shi4	ceremonio
一万	yi2 wan4	dek mil (10 000)
一万亿	yi2 wan4 yi4	duiliono; biliono (1 000 000 000 000)
疑问代词	yi2 wen3  dai4 ci2	interogativo (gramatiko)
疑问助词	yi2 wen4  zhu4 ci2	demanda partikulo (gramatiko)
疑问词	yi2 wen4 ci2	demandvorto (gramatiko)
疑问句	yi2 wen4 ju4	demanda frazo (gramatiko)
一样	yi2 yang4	sama
一夜情	yi2 ye4 qing2	ununokta afero
一亿	yi2 yi4	cent miliono (100 000 000)
一月	yi2 yue4	januaro
一月八号	yi2 yue4  ba1  hao4	la oka de januaro
一月八日	yi2 yue4  ba1  ri4	la oka de januaro
一月二号	yi2 yue4  er4  hao4	la dua de januaro
一月二日	yi2 yue4  er4  ri4	la dua de januaro
一月二十号	yi2 yue4  er4 shi2  hao4	la dudeka de januaro
一月二十日	yi2 yue4  er4 shi2  ri4	la dudeka de januaro
一月二十八号	yi2 yue4  er4 shi2 ba1  hao4	la dudek oka de januaro
一月二十八日	yi2 yue4  er4 shi2 ba1  ri4	la dudek oka de januaro
一月二十二号	yi2 yue4  er4 shi2 er4  hao4	la dudek dua de januaro
一月二十二日	yi2 yue4  er4 shi2 er4  ri4	la dudek dua de januaro
一月二十九号	yi2 yue4  er4 shi2 jiu3  hao4	la dudek naŭa de januaro
一月二十九日	yi2 yue4  er4 shi2 jiu3  ri4	la dudek naŭa de januaro
一月二十六号	yi2 yue4  er4 shi2 liu4  hao4	la dudek sesa de januaro
一月二十六日	yi2 yue4  er4 shi2 liu4  ri4	la dudek sesa de januaro
一月二十七号	yi2 yue4  er4 shi2 qi1  hao4	la dudek sepa de januaro
一月二十七日	yi2 yue4  er4 shi2 qi1  ri4	la dudek sepa de januaro
一月二十三号	yi2 yue4  er4 shi2 san1  hao4	la dudek tria de januaro
一月二十三日	yi2 yue4  er4 shi2 san1  ri4	la dudek tria de januaro
一月二十四号	yi2 yue4  er4 shi2 si4  hao4	la dudek kvara de januaro
一月二十四日	yi2 yue4  er4 shi2 si4  ri4	la dudek kvara de januaro
一月二十五号	yi2 yue4  er4 shi2 wu3  hao4	la dudek kvina de januaro
一月二十五日	yi2 yue4  er4 shi2 wu3  ri4	la dudek kvina de januaro
一月二十一号	yi2 yue4  er4 shi2 yi1  hao4	la dudek unua de januaro
一月二十一日	yi2 yue4  er4 shi2 yi1  ri4	la dudek unua de januaro
一月九号	yi2 yue4  jiu3  hao4	la naŭa de januaro
一月九日	yi2 yue4  jiu3  ri4	la naŭa de januaro
一月六号	yi2 yue4  liu4  hao4	la sesa de januaro
一月六日	yi2 yue4  liu4  ri4	la sesa de januaro
一月七号	yi2 yue4  qi1  hao4	la sepa de januaro
一月七日	yi2 yue4  qi1  ri4	la sepa de januaro
一月三号	yi2 yue4  san1  hao4	la tria de januaro
一月三日	yi2 yue4  san1  ri4	la tria de januaro
一月三十号	yi2 yue4  san1 shi2  hao4	la trideka de januaro
一月三十日	yi2 yue4  san1 shi2  ri4	la trideka de januaro
一月三十一号	yi2 yue4  san1 shi2 yi1  hao4	la tridek unua de januaro
一月三十一日	yi2 yue4  san1 shi2 yi1  ri4	la tridek unua de januaro
一月十号	yi2 yue4  shi2  hao4	la deka de januaro
一月十日	yi2 yue4  shi2  ri4	la deka de januaro
一月十八号	yi2 yue4  shi2 ba1  hao4	la dek oka de januaro
一月十八日	yi2 yue4  shi2 ba1  ri4	la dek oka de januaro
一月十二号	yi2 yue4  shi2 er4  hao4	la dek dua de januaro
一月十二日	yi2 yue4  shi2 er4  ri4	la dek dua de januaro
一月十九号	yi2 yue4  shi2 jiu3  hao4	la dek naŭa de januaro
一月十九日	yi2 yue4  shi2 jiu3  ri4	la dek naŭa de januaro
一月十六号	yi2 yue4  shi2 liu4  hao4	la dek sesa de januaro
一月十六日	yi2 yue4  shi2 liu4  ri4	la dek sesa de januaro
一月十七号	yi2 yue4  shi2 qi1  hao4	la dek sepa de januaro
一月十七日	yi2 yue4  shi2 qi1  ri4	la dek sepa de januaro
一月十三号	yi2 yue4  shi2 san1  hao4	la dek tria de januaro
一月十三日	yi2 yue4  shi2 san1  ri4	la dek tria de januaro
一月十四号	yi2 yue4  shi2 si4  hao4	la dek kvara de januaro
一月十四日	yi2 yue4  shi2 si4  ri4	la dek kvara de januaro
一月十五号	yi2 yue4  shi2 wu3  hao4	la dek kvina de januaro
一月十五日	yi2 yue4  shi2 wu3  ri4	la dek kvina de januaro
一月十一号	yi2 yue4  shi2 yi1  hao4	la dek unua de januaro
一月十一日	yi2 yue4  shi2 yi1  ri4	la dek unua de januaro
一月四号	yi2 yue4  si4  hao4	la kvara de januaro
一月四日	yi2 yue4  si4  ri4	la kvara de januaro
一月五号	yi2 yue4  wu3  hao4	la kvina de januaro
一月五日	yi2 yue4  wu3  ri4	la kvina de januaro
一月一号	yi2 yue4  yi1  hao4	la unua de januaro
一月一日	yi2 yue4  yi1  ri4	la unua de januaro
胰脏	yi2 zang4	(anat) pankreaso
一兆	yi2 zhao4	duiliono; biliono (1 000 000 000 000)
遗嘱	yi2 zhu3	testamento
钇	yi3	(kem) itrio; la elemento itrio (Y), atomnumero 39
已	yi3	jam
蚁	yi3	formiko (insekto)
以后	yi3 hou4	malantaŭ; poste
以后	yi3 hou4	post
以及	yi3 ji2	kaj
已经	yi3 jing1	jam
以前	yi3 qian2	antaŭ; antaŭe
以上	yi3 shang4	sur
以下	yi3 xia4	sub
椅子	yi3 zi5	seĝo
蜴	yi4	lacerto
亿	yi4	cent miliono (100 000 000)
翼	yi4	flugilo
易	yi4	facila
弈	yi4	ŝakludi
弈	yi4	vejĉi-ludo
镱	yi4	(kem) iterbio; la elemento iterbio (Yb), atomnumero 70
一把刀	yi4 ba3 dao1	tranĉilo
一百	yi4 bai3	cent (100)
一百倍	yi4 bai3 bei4	centoble
一百万	yi4 bai3 wan4	miliono (1 000 000)
一百亿	yi4 bai3 yi4	dek miliardo (10 000 000 000)
一般的	yi4 ban1 de5	la plejparto de
一杯茶	yi4 bei1 cha2	taso da teo
一杯水	yi4 bei1 shui3	glaso da akvo
一本書	yi4 ben3 shu1	libro
意大利语	yi4 da4 li4 yu3	la itala; la itala lingvo
意第绪语	yi4 di4 xu4 yu3	la jida; la jida lingvo; jido
一点	yi4 dian3	iom da
一点点	yi4 dian3 dian3	iomete
一点儿	yi4 dian3 er5	iom da
一点儿钱	yi4 dian3 er5 qian2	iom da mono
一点儿水	yi4 dian3 er5 shui3	iom da akvo
一点钱	yi4 dian3 qian2	iom da mono
一点水	yi4 dian3 shui3	iom da akvo
一根头发	yi4 gen1  tou2 fa4	haro
一回儿	yi4 hui2 er5	momente; nelonge
意见	yi4 jian4	opinio
一年生	yi4 nian2 sheng1	(plantoj) unujara
一年生草本	yi4 nian2 sheng1  cao3 ben3	(plantoj) unujara herbo
一起	yi4 qi3	kune
一千	yi4 qian1	mil (1 000)
一千万	yi4 qian1 wan4	dek miliono (10 000 000)
一千亿	yi4 qian1 yi4	cent miliardo (100 000 000 000)
意识	yi4 shi2	konscio
一十亿	yi4 shi2 yi4	miliardo (1 000 000 000)
艺术	yi4 shu4	arto
艺术家	yi4 shu4 jia1	artisto
艺术品	yi4 shu4 pin3	artaĵo
意思	yi4 si5	signifo
一天	yi4 tian1	iu tago
译文	yi4 wen2	traduko
义务	yi4 wu4	devo
一些	yi4 xie1	iuj
意义	yi4 yi4	signifo; senco
义勇军进行曲	yi4 yong3 jun1  jin4 xing2 qu3	Marŝo de la volontuloj; la nacia himno de Ĉino
一张纸	yi4 zhang1 zhi3	peco da papero
意志	yi4 zhi4	volo
铟	yin1	(kem) indio; la elemento indio (In), atomnumero 49
因此	yin1 ci3	tial
音节	yin1 jie2	silabo (gramatiko)
音素	yin1 su4	fonemo (lingvistiko)
因特网	yin1 te4 wang3	la Interreto; la Reto
音位	yin1 wei4	fonemo (lingvistiko)
因为	yin1 wei4	ĉar
音位变体	yin1 wei4  bian4 ti3	alofono (lingvistiko)
音响	yin1 xiang3	sonaparato
阴性	yin1 xing4	ina; ina genro (gramatiko)
阴性名词	yin1 xing4  ming2 ci2	ina substantivo (gramatiko)
阴性词	yin1 xing4 ci2	ina vorto (gramatiko)
音乐	yin1 yue4	muziko
音乐团体	yin1 yue4  tuan2 ti3	muzikistaro
音乐家	yin1 yue4 jia1	muzikisto
音韵学	yin1 yun4 xue2	fonologio (lingvistiko)
银	yin2	arĝentkolora
银	yin2	(kem) arĝento; la elemento arĝento (Ag), atomnumero 47
银	yin2	arĝenta
龈	yin2	(anat) dentokarno
银川	yin2 chuan1	Jinĉŭan; ĉefurbo de la ĉina provinco Ningŝjao
银行	yin2 hang2	banko
银河	yin2 he2	(ast) Galaksio
银河系	yin2 he2 xi4	(ast) Lakta vojo; Galaksio
银色	yin2 se4	arĝentkolora
银杏树	yin2 xing4 shu4	(pla-sci) ginko; ginkarbo (latine, Ginkgo biloba)
隐	yin3	kaŝita
蚓	yin3	vermo
引力	yin3 li4	(fiz) gravito
引力场	yin3 li4 chang3	(fiz) gravita kampo
饮料	yin3 liao4	trinkaĵo
饮食	yin3 shi2	dieto
隐私	yin3 si1	privateco
引用	yin3 yong4	citi
引用文	yin3 yong4 wen2	citaĵo
隐喻	yin3 yu4	metaforo (gramatiko)
印地语	yin4 di4 yu3	la hindia; la hindia lingvo
印度橡胶树	yin4 du4  xiang4 jiao1 shu4	(pla-sci) gumarbo; figarbeto; (latine, Ficus elastica)
印度橡树	yin4 du4  xiang4 shu4	(pla-sci) gumarbo; figarbeto; (latine, Ficus elastica)
印度话	yin4 du4 hua4	la hindia; la hindia lingvo; "barata parolo"
印度教	yin4 du4 jiao4	hinduismo
印度尼西亚	Yin4 du4 ni2 xi1 ya4	Indonezio
印度榕	yin4 du4 rong2	(pla-sci) gumarbo; figarbeto; (latine, Ficus elastica)
印度榕树	yin4 du4 rong2 shu4	(pla-sci) gumarbo; figarbeto; (latine, Ficus elastica)
印尼	Yin4 ni2	Indonezio
印尼文	yin4 ni2 wen2	la indonezia; la indonezia lingvo
印尼语	yin4 ni2 yu3	la indonezia; la indonezia lingvo
印象	yin4 xiang4	impreso
樱	ying1	(pla-sci) ĉerizarbo; (latine, Prunus avium)
鹦	ying1	papago (birdo)
鹰	ying1	falko (birdo)
应	ying1	devus
樱草花	ying1 cao3 hua1	(pla-sci) primolo; primolfloro (latine, Primula vulgaris)
婴儿	ying1 er2	infaneto; vindinfano
应该	ying1 gai1	devus; devi; -u
樱花	ying1 hua1	(pla-sci) ĉerizfloro
英联邦	ying1 lian2 bang1	Komunumo de Nacioj; Brita Regnaro; (BR)
罂粟花	ying1 su4 hua1	(pla-sci) papavo; papavfloro (latine, Papaver somniferum)
樱桃树	ying1 tao2 shu4	(pla-sci) ĉerizarbo; (latine, Prunus avium)
英文	ying1 wen2	la angla; la angla lingvo
鹦鹉	ying1 wu3	papago (birdo)
英雄	ying1 xiong2	heroo
英语	ying1 yu3	la angla; la angla lingvo
英语系国家	ying1 yu3 xi4  guo2 jia1	anglalingvaj landoj
蝇	ying2	muŝo (insekto)
赢得	ying2 de2	venki
迎接	ying2 jie1	veni por akompani; bonvenigi
萤幕	ying2 mu4	ekrano
营养	ying2 yang3	nutra
影	ying3	ombro
影子	ying3 zi3	ombro
硬	ying4	malmola
硬币	ying4 bi4	monero
硬件	ying4 jian4	aparataro
硬纸板	ying4 zhi3 ban3	kartono
拥抱	yong1 bao4	brakumi
拥有	yong1 you3	posedi
勇敢	yong3 gan3	kuraĝa
泳裤	yong3 ku4	bankalsono
勇气	yong3 qi4	kuraĝo
永远	yong3 yuan3	eterne
用	yong4	uzi
用	yong4	per
用户	yong4 hu4	uzanto
用途	yong4 tu2	uzo
幽默	you1 mo4	humura
幽默感	you1 mo4 gan3	humuro
忧郁	you1 yu4	korpremita
疣	you2	veruko
邮	you2	poŝto
犹	you2	ankoraŭ
铀	you2	(kem) uranio; la elemento uranio (U), atomnumero 92
邮差	you2 chai1	poŝtisto; leterportisto
邮件	you2 jian4	poŝtaĵo
邮局	you2 ju2	poŝtejo; poŝtoficejo
邮票	you2 piao4	poŝtmarko
尤其	you2 qi2	precipe
犹然	you2 ran2	ankoraŭ
犹太教	you2 tai4 jiao4	judismo
游戏	you2 xi4	ludo
游泳	you2 yong3	naĝi
疣猪	you2 zhu1	verukapro (mambesto)
油组	you2 zu3	(m-l) OPEL; Organizaĵo de Petrol-Eksportaj Landoj
铕	you3	(kem) eŭropio; la elemento eŭropio (Eu), atomnumero 63
有	you3	havi
友	you3	amiko
有	you3	ekzisti; esti
有才能	you3 cai2 neng2	naturdotita
有机	you3 ji1	organika
有空	you3 kong4	malokupata; libera
有名	you3 ming2	fama
有耐心	you3 nai4 xin1	pacienca
有钱	you3 qian2	riĉa
有趣	you3 qu4	interesa
有时候	you3 shi2 hou5	iafoje; iufoje
有限	you3 xian4	limigita
有信心	you3 xin4 xin1	memfida
有意无意	you3 yi4  wu2 yi4	intence aŭ senintence
有意思	you3 yi4 si5	interesa
有一天	you3 yi4 tian1	iu tago
有罪	you3 zui4	kulpa
柚	you4	(pla-sci) pampelmusarbo; (latine, Citrus maxima)
柚木树	you4 mu4 shu4	(pla-sci) tektono; tektonarbo (latine, Tectona grandis)
柚树	you4 shu4	(pla-sci) pampelmusarbo; (latine, Citrus maxima)
柚子树	you4 zi5 shu4	(pla-sci) pampelmusarbo; (latine, Citrus maxima)
狳	yu2	dazipo; dazipedo (mambesto)
鱼	yu2	fiŝo
榆	yu2	(pla-sci) ulmo; ulmarbo (latine, Ulmus)
渝	yu2	Ĉongĉingo; mallongiga formo de Ĉongĉingo
鱼翅	yu2 chi4	naĝilo de ŝarko
愉快	yu2 kuai4	agrabla; plezura
娱乐	yu2 le4	amuzaĵo
虞美人	yu2 mei3 ren2	(pla-sci) papaveto; papavetfloro (latine, Papaver rhoeas)
虞美人花	yu2 mei3 ren2 hua1	(pla-sci) papaveto; papavetfloro (latine, Papaver rhoeas)
于是	yu2 shi4	sekve; sekve de tio
榆树	yu2 shu4	(pla-sci) ulmo; ulmarbo (latine, Ulmus)
与	yu3	kaj
语	yu3	lingvo; parolo
雨	yu3	pluvo
羽	yu3	plumo
雨滴	yu3 di1	pluvero
语法	yu3 fa3	gramatiko
语法术语	yu3 fa3  shu4 yu3	gramatika esprimo
与格	yu3 ge2	dativo; dativa kazo (gramatiko)
羽毛	yu3 mao2	plumo
语气	yu3 qi4	modo (gramatiko)
语态	yu3 tai4	voĉo (gramatiko)
语言	yu3 yan2	lingvo
语言学	yu3 yan2 xue2	lingvistiko
雨衣	yu3 yi1	pluvmantelo
语音学	yu3 yin1 xue2	fonetiko (lingvistiko)
语源	yu3 yuan2	vortodeveno (lingvistiko)
宇宙	yu3 zhou4	universo
豫	yu4	Henano; mallongiga formo de Henano
狱	yu4	malliberejo
遇到	yu4 dao4	trafi; renkonti
预订	yu4 ding4	antaŭmendi
浴缸	yu4 gang1	bankuvo
郁金香	yu4 jin1 xiang1	(pla-sci) tulipo; tulipfloro (latine, Tulipa)
郁金香花	yu4 jin1 xiang1 hua1	(pla-sci) tulipo; tulipfloro (latine, Tulipa)
玉兰	yu4 lan2	(pla-sci) magnolio; magnolifloro (latine, Magnolia)
玉兰花	yu4 lan2 hua1	(pla-sci) magnolio; magnolifloro (latine, Magnolia)
玉米	yu4 mi3	maizo
浴室	yu4 shi4	banĉambro
预算	yu4 suan4	prezkonjekto; buĝeto
欲望	yu4 wang4	deziro
预言	yu4 yan2	profetaĵo
鸢尾花	yuan1 wei3 hua1	(pla-sci) irido; iridfloro (latine, Iris)
元	yuan2	la Jŭan-dinastio; Dinastio Jŭan
元朝	yuan2 chao2	Jŭan-dinastio; Dinastio Jŭan; 1279-1368 KE
原告	yuan2 gao4	akuzanto
员工	yuan2 gong1	dungito
原核生物	yuan2 he2  sheng1 wu4	prokarioto
原谅	yuan2 liang4	pardoni
元素	yuan2 su4	elemento
元素周期表	yuan2 su4  zhou1 qi1 biao3	la perioda tabelo de la elementoj
圆形	yuan2 xing2	rondo
原因	yuan2 yin1	kaŭzo
元音	yuan2 yin1	vokalo (lingvistiko)
元音字母	yuan2 yin1  zi4 mu3	vokala litero (lingvistiko)
圆珠笔	yuan2 zhu1 bi3	globskribilo
原子	yuan2 zi3	(fiz) atomo
原子序数	yuan2 zi3  xu4 shu4	(fiz) atomnumero
原子核	yuan2 zi3 he2	(fiz) atomkerno; atoma nukleo
原子量	yuan2 zi3 liang4	(fiz) atommaso
远	yuan3	malproksima
愿望	yuan4 wang4	volo; deziro
怨言	yuan4 yan2	plendo
约	yue1	ĉirkaŭ
约会	yue1 hui4	rendevuo
月	yue4	luno
乐	yue4	muziko
月	yue4	monato
粤	yue4	Gŭangdongo; mallongiga formo de Gŭangdongo
越大越好	yue4 da4  yue4 hao3	ju pli granda, des pli bona
乐队	yue4 dui4	muzikgrupo
越多越好	yue4 duo1  yue4 hao3	ju pli multaj, des pli bona
月桂树	yue4 gui4 shu4	(pla-sci) laŭro; laŭrarbo (latine, Laurus nobilis)
月季花	yue4 ji4 hua1	(pla-sci) rozo; rozfloro (latine, Rosa chinensis)
月见草	yue4 jian4 cao3	(pla-sci) enotero meza; enoterfloro meza (latine, Oenothera biennis)
越来越好	yue4 lai2  yue4 hao3	pli kaj pli bone
越来越	yue4 lai2 yue4	pli kaj pli
月亮	yue4 liang4	luno
越南	Yue4 nan2	Vjetnamio
越南话	yue4 nan2 hua4	la vjetnama; la vjetnama lingvo
越南文	yue4 nan2 wen2	la vjetnama; la vjetnama lingvo
越南语	yue4 nan2 yu3	la vjetnama; la vjetnama lingvo
乐器	yue4 qi4	muzikilo
月球	yue4 qiu2	(ast) Luno
越少越好	yue4 shao3  yue4 hao3	ju pli malmultaj, des pli bona
越小越好	yue4 xiao3  yue4 hao3	ju pli malgranda, des pli bona
粤语	yue4 yu3	la kantona lingvo
越…越…	yue4 yue4	ju pli... des pli...
云	yun2	nubo
云南	yun2 nan2	Junano; provinco de Ĉinio
云杉	yun2 shan1	(pla-sci) piceo; picearbo (latine, Picea)
云杉树	yun2 shan1 shu4	(pla-sci) piceo; picearbo (latine, Picea)
陨石	yun3 shi2	(ast) meteorito
熨斗	yun4 dou3	gladilo
杂志	za2 zhi4	revuo
灾难	zai1 nan4	malfeliĉego
在	zai4	ĉe; en
再	zai4	denove; re
在家	zai4 jia1	hejme; esti hejme
再加上	zai4 jia1 shang4	krome
再见	zai4 jian4	ĝis la revido; adiaŭ; "revidi"
在路上	zai4 lu4 shang4	survoje
再一次	zai4 yi2 ci4	unufoje denove
赞美	zan4 mei3	laŭdi
暂时	zan4 shi2	malpermanenta; nedaŭra; provizora
藏	zang4	Tibeto; mallongiga formo de Tibeto
藏文	zang4 wen2	la tibeta; la tibeta lingvo; "tibeta skribo"
藏语	zang4 yu3	la tibeta; la tibeta lingvo
藻	zao3	(pla-sci) laminario
蚤	zao3	pulo (insekto)
早	zao3	frua
早餐	zao3 can1	matenmanĝo
藻类	zao3 lei4	algoj
早上	zao3 shang4	mateno
枣椰树	zao3 ye1 shu4	(pla-sci) daktilarbo; daktilpalmo; (latine, Phoenix dactylifera)
噪音	zao4 yin1	matenmanĝo
责怪	ze2 guai4	kulpigi
责任	ze2 ren4	respondeco
怎么	zen3 me5	kiel
憎恨	zeng1 hen4	malamo
增加	zeng1 jia1	plialtigi; plimultigi
增强	zeng1 qiang2	plifortigi
查	zha1	(pla-sci) kratago; kratagarbo (latine, Crataegus)
楂	zha1	(pla-sci) kratago; kratagarbo (latine, Crataegus)
蚱	zha4	lokusto (insekto)
炸弹	zha4 dan4	bombo
栅栏	zha4 lan2	barilo
蚱蜢	zha4 meng3	lokusto (insekto)
斋戒月	zhai1 jie4 yue4	Ramadano
窄	zhai3	mallarĝa
展览会	zhan3 lan3 hui4	ekspozicio
斩首	zhan3 shou3	senkapigi
崭新	zhan3 xin1	tutnova
战	zhan4	milito
战犯	zhan4 fan4	militkrimulo
战俘	zhan4 fu2	militmalliberulo
战神阿瑞斯	zhan4 shen2  A1 rui4 si1	Areso (helena mitologio)
战胜	zhan4 sheng4	batalvenki
战士	zhan4 shi4	batalisto
战争	zhan4 zheng1	milito
樟	zhang1	(pla-sci) kamforarbo; (latine, Cinnamomum camphora)
蟑	zhang1	blato (insekto)
张开	zhang1 kai1	malfermi
蟑螂	zhang1 lang2	blato (insekto)
樟树	zhang1 shu4	(pla-sci) kamforarbo; (latine, Cinnamomum camphora)
章鱼	zhang1 yu2	polpo
掌	zhang3	(anat) manplato
涨潮	zhang3 chao2	fluso
掌握	zhang3 wo4	ellerni
账户	zhang4 hu4	konto
帐篷	zhang4 peng2	tendo
招呼	zhao1 hu1	saluto
找	zhao3	serĉi
找到	zhao3 dao4	trovi
兆	zhao4	duiliono; biliono (1 000 000 000 000)
照	zhao4	laŭ
照顾	zhao4 gu4	prizorgi
照旧	zhao4 jiu4	same kiel antaŭe; ankoraŭ
照片	zhao4 pian4	foto
照相机	zhao4 xiang4 ji1	fotilo
照样	zhao4 yang4	same kiel antaŭe; ankoraŭ
折叠	zhe2 die2	faldi
哲学	zhe2 xue2	filozofio
哲学家	zhe2 xue2 jia1	filozofo
锗	zhe3	(kem) germanio; la elemento germanio (Ge), atomnumero 32
浙	zhe4	Ĝeĝjango; mallongiga formo de Ĝeĝjango
这	zhe4	tio-ĉi; tiu-ĉi
这边	zhe4 bian1	ĉi-tie
这边儿	zhe4 bian1 er5	ĉi-tie
这儿	zhe4 er5	ĉi-tie
这个	zhe4 ge4	ĉi-tiu; ĉi-tio; tiu-ĉi; tio-ĉi
浙江	zhe4 jiang1	Ĝeĝjango; provinco de Ĉinio
这里	zhe4 li3	ĉi-tie
这么	zhe4 me5	tiel; tia
这是	zhe4 shi4	ĉi-tio estas; tio-ĉi estas
这些	zhe4 xie1	ĉi-tiuj; tiuj-ĉi
这种	zhe4 zhong3	ĉi-tiu; tiu-ĉi
真	zhen1	reala
榛	zhen1	(pla-sci) avelarbo; (latine, Corylus)
真不好意思	zhen1  bu4 hao3 yi4 si5	mi tre bedaŭras
砧板	zhen1 ban3	tranĉtabulo
真的	zhen1 de5	vere
真的很	zhen1 de5  hen3	vere tre
真核生物	zhen1 he2  sheng1 wu4	eŭkarioto
真理	zhen1 li3	vereco; vero
真实	zhen1 shi2	vera; prava
榛树	zhen1 shu4	(pla-sci) avelarbo; (latine, Corylus)
侦探	zhen1 tan4	detektivo
针线	zhen1 xian4	kudrilo kaj fadeno
真相	zhen1 xiang4	vero
真正	zhen1 zheng4	reala; vera
枕	zhen3	kapkuseno
枕头	zhen3 tou5	kapkuseno
枕叶	zhen3 ye4	(anat) okcipita lobo
争论	zheng1 lun4	disputi
蒸气	zheng1 qi4	vaporo
争议	zheng1 yi4	polemiko
挣扎	zheng1 zha2	barakti; lukti
整	zheng3	la tuta
整个	zheng3 ge5	la tuta
整洁	zheng3 jie2	orda
整理	zheng3 li3	ordigi
政策	zheng4 ce4	politiko
正常	zheng4 chang2	normala
政党	zheng4 dang3	partio
正方形	zheng4 fang1 xing2	kvadrata
政府	zheng4 fu3	registaro
证据	zheng4 ju4	pruvo
证明	zheng4 ming2	pruvi
证券交易所	zheng4 quan4  jiao1 yi4 suo3	borso
正确	zheng4 que4	ĝusta; akurata
正式	zheng4 shi4	formala
正义	zheng4 yi4	justeco
政治	zheng4 zhi4	politiko
郑州	zheng4 zhou1	Ĝengĝoŭo; ĉefurbo de la ĉina provinco Henano
知	zhi1	scii
蜘	zhi1	araneo (insekto)
枝	zhi1	branĉo
肢	zhi1	(anat) membro; membro de la korpo
支持	zhi1 chi2	subteni; subteno
知道	zhi1 dao5	scii
脂肪组织	zhi1 fang2  zu3 zhi1	(anat) grasa histo
知更鸟	zhi1 geng1 niao3	ruĝgorĝulo (birdo)
之后	zhi1 hou4	malantaŭ
之间	zhi1 jian1	inter
知觉	zhi1 jue2	konscio
支票	zhi1 piao4	ĉeko
之前	zhi1 qian2	antaŭ
之上	zhi1 shang4	sur
知识	zhi1 shi2	scio
肢体语言	zhi1 ti3  yu3 yan2	korplingvo
之下	zhi1 xia4	sub
蜘蛛	zhi1 zhu1	araneo (insekto)
值得注意	zhi2 de2  zhu4 yi4	rimarkinda
直根	zhi2 gen1	(plantoj) pivotradiko
直接	zhi2 jie1	rekta
直接宾语	zhi2 jie1  bin1 yu3	rekta objekto (gramatiko)
直接受格	zhi2 jie1  shou4 ge2	akuzativo; akuzativa kazo (gramatiko)
直接引语	zhi2 jie1  yin3 yu3	rekta parolo (gramatiko)
直觉	zhi2 jue2	intuicio
殖民地	zhi2 min2 di4	kolonio
直述语气	zhi2 shu4  yu3 qi4	indikativo modo (gramatiko)
直说法	zhi2 shuo1 fa3	indikativo modo (gramatiko)
植物	zhi2 wu4	planto
职业	zhi2 ye4	profesia
执照	zhi2 zhao4	permesilo
只	zhi3	nur
指	zhi3	(anat) fingro
纸	zhi3	papero
趾	zhi3	(anat) piedfingro
指导	zhi3 dao3	gvidi; direkti
指骨	zhi3 gu3	(anat) fingra osto; falango
指关节	zhi3 guan1 jie2	(anat) fingroartiko
指控	zhi3 kong4	kulpigi; akuzi
指南针	zhi3 nan2 zhen1	kompaso
只是	zhi3 shi4	esti nur
指示代词	zhi3 shi4  dai4 ci2	montra pronomo; demonstrativo (gramatiko)
指示词	zhi3 shi4 ci2	montra pronomo; demonstrativo (gramatiko)
指纹	zhi3 wen2	fingropremaĵo
只有	zhi3 you3	havi nur
纸张	zhi3 zhang1	papero
蛭	zhi4	hirudo
质	zhi4	kvalito
智齿	zhi4 chi3	saĝodento
智慧	zhi4 hui4	saĝo; saĝeco
质量	zhi4 liang4	(fiz) maso
质量	zhi4 liang4	kvalito
至少	zhi4 shao3	almenaŭ
制造	zhi4 zao4	fari
质子	zhi4 zi3	(fiz) proton
钟	zhong1	horloĝo
中	zhong1	meza; centra
中	zhong1	Ĉinio; ĉina
忠告	zhong1 gao4	konsilo
中共	Zhong1 gong4	la Komunista Partio de Ĉinio
中国	zhong1 guo2	Ĉinio; "la Meza Regno"
